Text Passage,Image ROI
1.2.0,"urn:cite2:fufolio:camerarius1668.2020a:01_00004@0.1614,0.1368,0.7652,0.08598"
1.2.1,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.02096,0.1175,0.8480,0.05731"
1.2.2,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.02096,0.1526,0.8480,0.06433"
1.2.3,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.02411,0.1918,0.8323,0.1357"
1.2.4,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.02306,0.3023,0.8249,0.1064"
1.2.5,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.03459,0.3433,0.8008,0.06550"
1.2.6,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.03249,0.3895,0.8008,0.08655"
1.2.7,"urn:cite2:fufolio:camerarius1668.2020a:01_00005@0.02621,0.4766,0.8365,0.1058"
1.49.0,"urn:cite2:fufolio:camerarius1668.2020a:01_00098@0.1551,0.1379,0.8197,0.07701"
1.49.1,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.03354,0.1814,0.8386,0.1529"
1.49.2,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.02725,0.3320,0.8459,0.09043"
1.49.3,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.03669,0.3996,0.8302,0.04376"
1.49.4,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.03564,0.4002,0.8249,0.03967"
1.49.4a,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.03459,0.4195,0.8302,0.06534"
1.49.5,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.03459,0.4615,0.8312,0.1785"
1.49.6,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.02201,0.6161,0.8354,0.06476"
1.49.7,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.1258,0.6826,0.5168,0.04492"
1.49.8,"urn:cite2:fufolio:camerarius1668.2020a:01_00099@0.1268,0.7007,0.4245,0.02625"
2.14.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00028@0.2149,0.1503,0.6635,0.08000"
2.14.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02306,0.1327,0.8512,0.1610"
2.14.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02306,0.2659,0.8753,0.04592"
2.14.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02201,0.2891,0.8553,0.06689"
2.14.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02516,0.3503,0.8218,0.04705"
2.14.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02411,0.3753,0.8386,0.08617"
2.14.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02411,0.4620,0.8145,0.2347"
2.14.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.3784,0.6763,0.3962,0.01984"
2.14.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00029@0.02201,0.6757,0.8197,0.09070"
3.1.0,"urn:cite2:fufolio:camerarius1668.2020a:03_00002@0.2589,0.1351,0.6174,0.05278"
3.1.1,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.04088,0.1307,0.8082,0.09988"
3.1.2,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.02411,0.2056,0.8176,0.07143"
3.1.3,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.02516,0.2509,0.8281,0.04704"
3.1.4,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03354,0.2753,0.8113,0.07433"
3.1.5,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03145,0.3240,0.8124,0.05285"
3.1.6,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03249,0.3502,0.8155,0.07782"
3.1.7,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03249,0.4013,0.8103,0.04994"
3.1.8,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.2421,0.4280,0.2642,0.02207"
3.1.9,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03564,0.4268,0.8061,0.04936"
3.1.10,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03564,0.4535,0.8082,0.06388"
3.1.11,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03669,0.4988,0.8082,0.06562"
3.1.12,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03564,0.5430,0.8019,0.05981"
3.1.13,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.02516,0.5836,0.8417,0.06156"
3.1.14,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03249,0.6243,0.8092,0.06330"
3.1.15,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.02935,0.6638,0.8187,0.04413"
3.1.16,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03145,0.6876,0.8092,0.06214"
3.1.17,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03145,0.7271,0.8040,0.1063"
3.1.18,"urn:cite2:fufolio:camerarius1668.2020a:03_00003@0.03040,0.8148,0.8082,0.06678"
2.46.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00092@0.1017,0.1453,0.8574,0.05562"
2.46.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.05241,0.1912,0.8365,0.07258"
2.46.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.04612,0.2379,0.8438,0.06970"
2.46.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.04193,0.2828,0.8564,0.1146"
2.46.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.04507,0.3646,0.8553,0.07258"
2.46.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.04298,0.4078,0.8669,0.04839"
2.46.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.04298,0.4297,0.8648,0.06855"
2.46.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.03774,0.4706,0.8690,0.05530"
2.46.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.03774,0.4925,0.8648,0.09274"
2.46.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.03459,0.5490,0.8721,0.07776"
2.46.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.04088,0.5985,0.8595,0.09332"
2.46.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.03459,0.6601,0.8732,0.07258"
2.46.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.03564,0.7033,0.8700,0.04781"
2.46.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.02725,0.7258,0.8742,0.06855"
2.46.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.01468,0.7667,0.9224,0.07200"
2.46.15,"urn:cite2:fufolio:camerarius1668.2020a:02_00093@0.03040,0.8116,0.8753,0.07200"
1.93.0,"urn:cite2:fufolio:camerarius1668.2020a:01_00186@0.1478,0.1597,0.7621,0.06513"
1.93.1,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.01677,0.2115,0.8753,0.1559"
1.93.2,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.009434,0.3444,0.9015,0.1307"
1.93.3,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.01887,0.4447,0.8836,0.07335"
1.93.4,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.01572,0.5117,0.8836,0.05272"
1.93.5,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.01153,0.5570,0.6205,0.02980"
1.93.6,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.03249,0.5748,0.8134,0.03438"
1.93.7,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.06709,0.5983,0.7841,0.03324"
1.93.8,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.06499,0.6206,0.7138,0.03152"
1.93.9,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.07233,0.6407,0.6499,0.02865"
1.93.10,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.06709,0.6607,0.7484,0.03381"
1.93.11,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.06604,0.6802,0.6247,0.03438"
1.93.12,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.03354,0.7043,0.8553,0.05731"
1.93.13,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.02621,0.7249,0.8585,0.05788"
1.93.14,"urn:cite2:fufolio:camerarius1668.2020a:01_00187@0.02621,0.7731,0.6153,0.03209"
2.37.0,"urn:cite2:fufolio:camerarius1668.2020a:02_00074@0.07966,0.1498,0.8868,0.06452"
2.37.1,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04507,0.1904,0.8365,0.09491"
2.37.2,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04403,0.2569,0.8365,0.05150"
2.37.3,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04298,0.2789,0.8417,0.05150"
2.37.4,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03983,0.2998,0.8459,0.09259"
2.37.5,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.3652,0.8512,0.04803"
2.37.6,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.3854,0.8595,0.09259"
2.37.7,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03040,0.4485,0.8637,0.09433"
2.37.8,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.02411,0.5133,0.8679,0.05150"
2.37.9,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.04507,0.5341,0.8491,0.07350"
2.37.10,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03145,0.5752,0.8836,0.1574"
2.37.11,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03878,0.7078,0.8637,0.07002"
2.37.12,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.7459,0.8669,0.05150"
2.37.13,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.03669,0.7645,0.8711,0.07813"
2.37.14,"urn:cite2:fufolio:camerarius1668.2020a:02_00075@0.05765,0.8351,0.8040,0.06539"
4.96.0,"urn:cite2:fufolio:camerarius1668.2020a:04_00192@0.2023,0.1211,0.7348,0.04641"
4.96.1,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.01468,0.1408,0.8375,0.07801"
4.96.2,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.06499,0.1877,0.7778,0.04862"
4.96.3,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.002096,0.2103,0.8417,0.09271"
4.96.4,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.2730,0.8564,0.05088"
4.96.5,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.2928,0.8438,0.08875"
4.96.6,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.3567,0.8532,0.09214"
4.96.7,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.4183,0.8616,0.07688"
4.96.8,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.4624,0.8553,0.09553"
4.96.9,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.001048,0.5252,0.8637,0.09101"
4.96.10,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.5845,0.8648,0.1215"
4.96.11,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.6682,0.8627,0.1097"
4.96.12,"urn:cite2:fufolio:camerarius1668.2020a:04_00193@0.000,0.7400,0.8606,0.08310"
1.68.0,"urn:cite2:fufolio:camerarius1668.2020a:01_00136@0.1845,0.1385,0.7096,0.09483"
1.68.1,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.01677,0.1805,0.8690,0.1262"
1.68.2,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.02516,0.2751,0.8606,0.09112"
1.68.3,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.02411,0.3370,0.8669,0.1151"
1.68.4,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.04298,0.4211,0.8595,0.05315"
1.68.5,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1069,0.4620,0.6625,0.03154"
1.68.6,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1918,0.4866,0.5912,0.02862"
1.68.7,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.03145,0.5053,0.8113,0.05607"
1.68.8,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.02830,0.5327,0.5346,0.02921"
1.68.9,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.06604,0.5491,0.7589,0.03563"
1.68.10,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.1143,0.5742,0.6876,0.02979"
1.68.11,"urn:cite2:fufolio:camerarius1668.2020a:01_00137@0.06813,0.5940,0.7893,0.03037"
